Gene_name	filter
WDR61	-
MIR3161	-
MAML2	-
DTX1	-
CASC16	-
SNX29	-
ADAMTS18	-
PTGS1	-
GEMIN7-AS1	-
METTL4	-
KLHDC9	-
TRIM29	-
AGBL5-AS1	-
FER1L4	-
UBE2U	-
CASR	-
XYLT1	-
HTR1A	-
TBC1D21	-
XCR1	-
RUNX1-IT1	-
COPS5	-
ACAP2	-
KANSL3	-
CPA4	-
IFITM3	-
BTNL8	-
CASC19	-
MXD3	-
C20orf203	-
CELF3	-
PRAMEF33	-
GAREM1	-
TAS2R60	-
REXO4	-
MMP28	-
MIR3938	-
FNDC9	-
PITPNM2-AS1	-
RINT1	-
RPL28	-
INTS4P1	-
PSMD4	-
SPRR4	-
MIR155HG	-
SEC16A	-
DYNLRB1	-
LINC00581	-
TSBP1	-
ENOX1	-
PCDHB1	-
AAMDC	-
C20orf173	-
FAM193A	-
HSFY1P1	-
PIGN	-
GPR137	-
C11orf96	-
IRGQ	-
RNASE8	-
MALAT1	-
RNF217-AS1	-
ABCG4	-
RORA	-
BMP8B	-
NIPAL3	-
IMPG1	-
TCP11	-
CGAS	-
LINC01500	-
UGT2A2	-
TMEM79	-
AIFM3	-
DPYD	-
FBXO3-DT	-
TYSND1	-
CR1	-
RPARP-AS1	-
RAD21-AS1	-
RPS16P5	-
OR10H3	-
PRKAA2	-
MIR320D2	-
MUC3A	-
GEMIN4	-
IDH3A	-
DTX4	-
BHLHE22	-
NDUFAF1	-
PCDHGA6	-
LINC00708	-
ARHGEF18	-
WNT7B	-
TREML3P	-
TKFC	-
LAMC3	-
ZFAND2A	-
MIR3681HG	-
AQP2	-
FBXO4	-
MIR3622A	-
CNOT11	-
MUCL1	-
TP53	-
MIR5007	-
DDX52	-
LINC00442	-
PCSK1N	-
LINC00355	-
SCAND2P	-
LINC02241	-
MAGED2	-
CES1P1	-
LSM14B	-
RUNX3	-
RPL23AP32	-
TRMT1L	-
XPO6	-
PPP4R3C	-
TRIM53AP	-
HERC3	-
LOXL1	-
BISPR	-
ENPP1	-
ASCL1	-
LIN52	-
ARL2-SNX15	-
UXT-AS1	-
SLC22A12	-
LINC01555	-
ITPK1	-
IGFBP2	-
MYSM1	-
ZNF493	-
GPR3	-
DPY19L1P2	-
TRAPPC4	-
GTF2IP7	-
NEK2	-
RAB21	-
USP32P3	-
METTL14	-
MTHFD1L	-
OR4D11	-
TNFSF13	-
CDCA2	-
SLCO5A1	-
ZSCAN5B	-
AS3MT	-
CCDC102A	-
UCKL1	-
LINC02125	-
AMZ2	-
ARID3C	-
SOX30	-
NMT2	-
SLC7A2	-
KCNQ1-AS1	-
GEMIN8P4	-
GYPC	-
SLC47A2	-
DGCR2	-
HLA-DRB6	-
LINC00567	-
OGG1	-
ZRANB3	-
SUZ12	-
GTF2H5	-
UBN2	-
KMT2C	-
UBA2	-
PDE6G	-
SEMA3B	-
LINC00613	-
VWA8-AS1	-
NIPAL2	-
ZNF561-AS1	-
CATSPERB	-
MIR183	-
TGM1	-
RPS6KA3	-
LINC00623	-
SYNRG	-
LINC01147	-
EPHB6	-
ZFYVE28	-
KIF24	-
UOX	-
PHF2	-
PSMG2	-
CCL23	-
GCNT7	-
ATRAID	-
DPYS	-
SLC1A5	-
TAOK2	-
TTTY16	-
TTC16	-
GTSE1-DT	-
KLF1	-
NKAIN3	-
SPAG11A	-
C1S	-
AP1B1P1	-
KRTAP1-5	-
TEPP	-
CCDC18	-
TTLL2	-
TLCD5	-
CSGALNACT2	-
LINC01784	-
SH2D7	-
LINC01189	-
TM4SF5	-
ZNF727	-
PSG10P	-
MIR4482	-
OMP	-
OR52E2	-
ZBED9	-
LINC02399	-
C1QTNF12	-
TUB-AS1	-
OTUD7A	-
LCN10	-
SNRPB2	-
FCER1A	-
GALNT2	-
CDON	-
RBFOX2	-
CCDC180	-
LINC02547	-
TTC22	-
MARK1	-
CHAF1A	-
PARP4	-
CALCR	-
ACSS3	-
COL15A1	-
MCUB	-
ZNF709	-
TERT	-
PLVAP	-
SFR1	-
PRKAR2A-AS1	-
SNX24	-
DDX10	-
LCP2	-
CISTR	-
ZFP62	-
LINC01721	-
ZNF16	-
GSX2	-
RHBDD3	-
LINC01753	-
IFITM5	-
SYPL1	-
ASAP3	-
NECAB3	-
LRRC37B	-
SH3D21	-
GALM	-
ERG	-
FAM13B	-
VAMP7	-
LINC00457	-
TMEM25	-
LINC02614	-
FAF1	-
C17orf97	-
LINC02026	-
CCDC88B	-
LINC02603	-
OAF	-
LINC02283	-
BEND5	-
NABP1	-
ZMIZ1-AS1	-
CYP3A4	-
PRMT8	-
CNOT10	-
BVES-AS1	-
OR8U1	-
ADAM10	-
LINC02208	-
TAS2R5	-
VTI1B	-
LINC01389	-
S100A7A	-
RPS10P7	-
ABCG1	-
LINC01680	-
RFPL4AL1	-
ZIC2	-
SNX20	-
C2orf76	-
SLC2A9	-
WSB1	-
PALM3	-
BCAR1	-
CEACAM22P	-
LINC01648	-
LINC00326	-
LINC02800	-
LY6D	-
LINC02447	-
OR10A6	-
ACE	-
CLIC4	-
AZGP1	-
ALKBH4	-
SPIN2A	-
CARNMT1-AS1	-
SIM1	-
HLA-F	-
ARF4-AS1	-
CEACAM20	-
HEATR1	-
DNAJA1	-
PTCSC1	-
ANKRD30A	-
ERICH3-AS1	-
GPNMB	-
LINC01507	-
MAP3K14	-
LINC00887	-
ZNF143	-
ST3GAL5-AS1	-
LINC01055	-
CRISP3	-
OR1E2	-
CATSPERE	-
KCNG1	-
PIP5K1A	-
KIF18B	-
CISH	-
LINC02112	-
CTNNA3	-
MRPL42P5	-
MUC2	-
ITIH5	-
MKX-AS1	-
ZNF280A	-
EPB41L4A	-
SPSB2	-
CFAP74	-
AKR1C8P	-
GSEC	-
SCAMP2	-
BIRC2	-
NCAPG	-
RNF214	-
BMS1P22	-
OXSR1	-
KCNJ14	-
OSTF1	-
SNORD3J	-
LINC01856	-
CBWD3	-
SULF2	-
ADGB	-
ANKZF1	-
ABHD14B	-
AHCTF1	-
TMEM255B	-
LINC01169	-
ASAP1-IT2	-
MIR4432	-
WSCD2	-
RAMP2-AS1	-
NINJ1	-
IDI2-AS1	-
PLCH2	-
CDH5	-
COPG2	-
SLC35B2	-
TUBA8	-
AJAP1	-
TERF2	-
NHEJ1	-
LINC00877	-
AGXT	-
GM2A	-
DSCAM-AS1	-
LINC01861	-
HNF1A-AS1	-
LINC02609	-
SLC47A1	-
MMACHC	-
DNAAF3	-
RPL31P11	-
RNMT	-
PMPCA	-
SLC34A3	-
HSD11B2	-
CTBP2	-
ACADVL	-
FGF20	-
RWDD1	-
NADK	-
DNAJB11	-
CCDC166	-
TEPSIN	-
PLEKHO2	-
LINC01846	-
RAB11FIP2	-
ODAPH	-
EXD1	-
EVA1C	-
SRGAP3-AS4	-
HSD17B1	-
LINC00343	-
SERPINB5	-
NOVA2	-
PDZRN4	-
JRKL-AS1	-
CAMSAP1	-
METTL17	-
NTSR1	-
NTNG2	-
SELENOI	-
IL7R	-
HSPA1L	-
FOXD3-AS1	-
EFCAB11	-
BBS12	-
DHX58	-
PFKFB2	-
ADAR	-
PCDHAC1	-
FRG1	-
GPX7	-
SPRNP1	-
FRMPD1	-
IL20RA	-
STIL	-
SOAT2	-
TMC7	-
LINC00485	-
ZNF697	-
KCNB2	-
AHRR	-
WNT5B	-
LINC00654	-
DBR1	-
PIAS2	-
ASB10	-
DUSP15	-
IL22RA1	-
DUOX1	-
LINC00294	-
NUDT19	-
LINC01805	-
MCM8	-
ZNF625	-
CEBPA-DT	-
TGS1	-
UPF2	-
C22orf39	-
ERN1	-
LINC00852	-
OR10H5	-
OR1S2	-
TPK1	-
TEKT4	-
IL12A-AS1	-
LINC01120	-
CFB	-
NRAD1	-
NEK10	-
TUBA1A	-
ERICH6	-
ADAM5	-
FOLH1	-
LINC02484	-
MTG2	-
MMP19	-
OR5AU1	-
KANK4	-
GNAQ	-
CACNA1B	-
GREB1	-
JAZF1-AS1	-
CBR3	-
ARPP21	-
IFT52	-
MAMDC2-AS1	-
TAS2R46	-
OBI1	-
ACTR3-AS1	-
SOX2	-
OR2A12	-
CSK	-
CDHR2	-
ECHDC3	-
SLC7A6OS	-
ANKRD35	-
MB21D2	-
CDK7	-
FAM86FP	-
SLC5A6	-
MYORG	-
NLRP8	-
STAM-AS1	-
ASPDH	-
FAM236C	-
LY86-AS1	-
LINC00554	-
PPHLN1	-
HEATR3	-
IFT74	-
MRAP2	-
SP3	-
LAMA5	-
TRAF6	-
CD37	-
ZC3HC1	-
ROBO1	-
FAM30C	-
C17orf78	-
USP18	-
BEST4	-
SHANK2	-
YOD1	-
NPLOC4	-
TNNI3K	-
SLC38A3	-
TRIM49B	-
KIF20B	-
PGR	-
LHPP	-
NCALD	-
NCOR1	-
SLC6A1-AS1	-
PAX6-AS1	-
KLF3-AS1	-
RAB6A	-
ALDH7A1	-
PHACTR2-AS1	-
GRWD1	-
MED27	-
PFAS	-
SPTY2D1	-
GIPC1	-
SNORD13B-1	-
DENND3	-
WDR90	-
GFM1	-
LINC02417	-
CLEC18A	-
SPATA41	-
E2F7	-
SMC1B	-
PEX16	-
PLCG2	-
RPTN	-
ZFYVE19	-
CCR6	-
LINC01029	-
RALGAPA1P1	-
BIN3-IT1	-
GNB2	-
PRSS47	-
HIGD2B	-
NMT1	-
LRRC58	-
LINC00303	-
FCHO1	-
GPD1L	-
LINC01915	-
TEKT3	-
ZNF773	-
PSMA4	-
CCDC24	-
LASP1	-
ZNF146	-
SLC39A4	-
CLEC4M	-
ENPP5	-
LINC01361	-
PRG4	-
SCAMP4	-
ATAD2B	-
LAMB1	-
FAM227B	-
LINC00363	-
LPAR1	-
RPLP0P2	-
HMGN2P46	-
POLN	-
APLP1	-
NKILA	-
PRR29-AS1	-
BANCR	-
SHKBP1	-
METTL25	-
CHRNA2	-
LINC01547	-
PPP1R1A	-
TCEAL7	-
RSBN1L	-
RAB43	-
PGBD2	-
IRX5	-
TRIM64C	-
EPN2	-
RRN3P1	-
ACVR1	-
PIK3R1	-
YJU2	-
FGF14-IT1	-
DDN-AS1	-
SPG11	-
UBE2H	-
PPM1A	-
CTAGE6	-
PDGFB	-
LINC01791	-
LINC02649	-
EED	-
CLDN1	-
ELOVL2-AS1	-
ADGRG4	-
SNORD118	-
SERPINF1	-
CTNND2	-
ETS1	-
FOXD4L4	-
LINC00680	-
BCAS4	-
POU3F2	-
NAALADL2-AS1	-
PIGP	-
ZNF532	-
KRTAP15-1	-
KLHDC8A	-
PARP16	-
TNIP1	-
ZNF71	-
ALLC	-
RPL7L1	-
PLK1	-
TDRD9	-
LINC02427	-
EFCAB13	-
IKBIP	-
SPAG5	-
KCNA10	-
STIP1	-
CRTC2	-
GIT1	-
LINC00266-3	-
KRT16P2	-
NCOA7	-
ID2-AS1	-
C10orf67	-
EML6	-
LINC00630	-
LINC01828	-
LINC01611	-
GEMIN6	-
SAGE2P	-
PSMD12	-
FAM222A-AS1	-
GEN1	-
CEBPE	-
OR6T1	-
PAX4	-
MASP2	-
TRIM51HP	-
HEPACAM	-
DNAJB3	-
OR11H6	-
SETDB1	-
GIMAP4	-
HYAL6P	-
PLXNC1	-
PDZD2	-
NFYA	-
CIP2A	-
MAST4	-
FAM86C2P	-
B4GALT5	-
ITGA7	-
SRGAP2C	-
SCFD2	-
OOEP	-
ADGRB2	-
ZNF32-AS1	-
FPR1	-
MB	-
SOD2-OT1	-
LINC02716	-
TRPC1	-
LINC00316	-
OR7E5P	-
ODF3	-
DTNB	-
OR2J3	-
SHH	-
CINP	-
LINC00312	-
SLC45A4	-
RBM17	-
TMEM168	-
NAA16	-
GYPA	-
HSFX4	-
UBOX5-AS1	-
DNAJC25	-
ZNF34	-
PPARG	-
GIHCG	-
NOX5	-
NOX4	-
TEX264	-
PCAT14	-
TRPT1	-
FALEC	-
MRPL4	-
SIX4	-
LINC01977	-
VWA5A	-
LINC02033	-
BLM	-
PCGF3	-
DTWD2	-
KRTAP5-AS1	-
ABCB8	-
HDX	-
C17orf102	-
LINC02109	-
TK1	-
SCARA5	-
XRRA1	-
MTRF1L	-
CDH26	-
ERCC5	-
RASSF8	-
TMEM128	-
BFSP2	-
MLF2	-
MIR548AP	-
PCF11-AS1	-
UBXN6	-
PRMT6	-
OR10G4	-
RUBCNL	-
RXRA	-
DUSP4	-
IL4R	-
C10orf53	-
GCSIR	-
ATG7	-
MBTD1	-
LGALS8	-
MIR548AL	-
VWA1	-
C6orf120	-
STAU2-AS1	-
ALG8	-
C7orf65	-
DNM3	-
ADAMTS13	-
DNAJC15	-
CCL3L1	-
EDN3	-
CAPN10-DT	-
LINC02352	-
CDC16	-
BABAM2	-
TWIST1	-
LCE5A	-
LINC00412	-
SEC23IP	-
CHKB-CPT1B	-
ZNF705E	-
KCTD14	-
DENND1A	-
GFOD1	-
OR52A1	-
NF1P2	-
AIPL1	-
FDFT1	-
LINC01799	-
CCDC22	-
B4GALNT1	-
FSTL5	-
LINC00235	-
LYZL1	-
PEX5L-AS2	-
HSPA1B	-
FFAR3	-
SPATA6	-
ARPC1A	-
RPS5	-
PCDHGB7	-
GPC6-AS1	-
NEUROG1	-
BCL9	-
OR6B1	-
C5orf66-AS2	-
ANKRD62P1-PARP4P3	-
P2RY8	-
OR5B12	-
TMEM51-AS1	-
EXOSC5	-
OR4K17	-
LIF-AS1	-
NFRKB	-
ZBTB8B	-
RASSF5	-
SEMA4C	-
PCDHAC2	-
HLA-DRB5	-
DEAF1	-
RSPH6A	-
TARM1	-
ACVR2B-AS1	-
KLHL11	-
MRS2P2	-
TRIM66	-
XRCC6	-
ACOT4	-
MAGI3	-
SHMT2	-
EDN1	-
ARHGEF26	-
RNASEL	-
ENTR1	-
PFKM	-
C3orf36	-
OR8H3	-
SCN7A	-
UGT1A7	-
LINC01975	-
CRB1	-
LINC00929	-
ZNF408	-
DR1	-
MSMP	-
STK32A-AS1	-
LRRC8B	-
ARHGEF10	-
MYH11	-
DISC1-IT1	-
MAPK11	-
ASH2L	-
SCGB1D2	-
ZNF286B	-
SLC1A1	-
AP2B1	-
FAM131B	-
ELOVL4	-
C22orf42	-
GTF3C3	-
LINC00649	-
TRIM73	-
TRHDE	-
C3orf22	-
PPP2R3A	-
SMAD5-AS1	-
C1QTNF7-AS1	-
TP53I11	-
NLGN1	-
LINC02691	-
HTR5A-AS1	-
PTTG1IP	-
TNFRSF8	-
TBXA2R	-
ADGRL4	-
THAP11	-
ZNF235	-
ATG3	-
GTF2IRD2	-
BTBD11	-
LBHD2	-
LINC01973	-
SEPTIN14	-
PWP1	-
CYB5D1	-
ZNF826P	-
TANC2	-
NUTM2A-AS1	-
SEMA6A-AS1	-
CRYBB3	-
NDFIP2	-
YTHDF1	-
UHRF1BP1L	-
C12orf54	-
CABP4	-
LINC00939	-
C10orf143	-
HNRNPU	-
NRG3-AS1	-
NYNRIN	-
NCAM1	-
CNTN4-AS2	-
ZCCHC4	-
SULT1A3	-
SCUBE1	-
ELOA2	-
LIMK2	-
FKBP14	-
FAM74A7	-
NR0B1	-
LYSMD1	-
UGT2B7	-
RBM15-AS1	-
PIF1	-
CLN5	-
GLT1D1	-
LINC00111	-
MIEF2	-
TBPL2	-
PCDHA7	-
PLEKHH3	-
CCDC151	-
OR2S2	-
ACADL	-
FUT2	-
EFEMP1	-
C11orf16	-
DAPK1-IT1	-
TONSL-AS1	-
PARD6G-AS1	-
PARGP1	-
OTUB2	-
SBF2-AS1	-
ADAM19	-
RNF39	-
MIR548F3	-
KAT6A	-
SLC7A11-AS1	-
SLC27A5	-
LINC00374	-
LINC01340	-
HYMAI	-
DDX39A	-
TBP	-
OSBPL10	-
KRTAP1-4	-
ZNF223	-
PBX3	-
CRMP1	-
LRP3	-
RXRB	-
MRPL23-AS1	-
GUSBP3	-
GSTT1	-
SH3BP2	-
CST3	-
ZNF213-AS1	-
IRX6	-
LY75	-
PEX11G	-
SRPRB	-
LINC00968	-
TPI1P3	-
ANKRD33	-
ASTN2-AS1	-
FAM120AOS	-
LINC01287	-
MAP7D1	-
BCAN	-
SCGB1C2	-
UBE2D3	-
TENM1	-
RNVU1-15	-
TINAG	-
DLGAP5	-
DMBX1	-
ANKRD23	-
ABCA9	-
VWC2	-
ZC2HC1C	-
LINC01766	-
CHRNA7	-
TEX45	-
CRHR2	-
SMAD2	-
DGCR5	-
C2CD4C	-
TNFSF8	-
MAGI2-AS2	-
NAIP	-
LILRA4	-
IQCJ-SCHIP1	-
TAF7L	-
USP35	-
HS1BP3-IT1	-
LINC00377	-
P3H2	-
PRR35	-
NWD1	-
BARHL1	-
ABO	-
ADCK2	-
ARRDC1-AS1	-
FABP1	-
SAXO1	-
LINC02461	-
OSBPL3	-
PPP3CB-AS1	-
ITFG2-AS1	-
WNK1	-
VSIG10L2	-
DQX1	-
MT-TK	-
RTP1	-
FAM240A	-
SSBP3-AS1	-
SERPINB9P1	-
ZNF324B	-
GIPR	-
MIR497HG	-
PLCXD2	-
MCTP1	-
MRNIP	-
TUBB4B	-
PNLIPRP2	-
PRAMEF1	-
SLC7A9	-
NR1H2	-
FBXW9	-
BHLHE40-AS1	-
MIR8058	-
CLCN6	-
ENPEP	-
TCN2	-
ARSD	-
PPP1R37	-
NDUFV2-AS1	-
MAP4	-
CRTAM	-
RPAP1	-
PCDHA4	-
HERC6	-
GTF2H4	-
FANK1-AS1	-
PLEKHH2	-
LRIF1	-
CSNK2A3	-
ZNF347	-
SRGAP2B	-
MYO9A	-
TDRD5	-
HHLA1	-
GGT6	-
MRPL38	-
HAR1A	-
MIR4285	-
NPPC	-
OR5B17	-
INO80E	-
PCARE	-
KHNYN	-
ARHGEF9	-
CEP162	-
NECAB2	-
FBXL20	-
LINC01091	-
PPIAL4H	-
NR5A2	-
HCG24	-
UBD	-
SH3GL1	-
GPR173	-
LRRC71	-
P3H1	-
EPC2	-
ZNF765	-
KRT40	-
NXF5	-
ACTL7B	-
ABT1	-
ZNF160	-
OR4N4	-
NT5M	-
PALB2	-
HSD17B3-AS1	-
ETV1	-
TMEM88B	-
DSE	-
LINC02571	-
RPSAP58	-
SPAG8	-
DSCR4	-
CAPG	-
TRIM64	-
ACO1	-
LMAN2	-
LHX5-AS1	-
DPPA5	-
CNKSR1	-
BMS1P20	-
CGB7	-
HELB	-
SYNJ2BP-COX16	-
SSX4	-
LZTS2	-
IQCF3	-
DLX3	-
YIPF2	-
PSG7	-
SLCO1B3-SLCO1B7	-
IGF2BP2-AS1	-
WDR1	-
GPR158-AS1	-
ITGA2B	-
ANKDD1B	-
CAMKK2	-
IL18R1	-
TAS1R2	-
HRH4	-
SGSM2	-
PRDM2	-
ABCA1	-
LINC01580	-
CCDC178	-
DLEU7-AS1	-
CLIP1	-
TRIM7	-
TMEM43	-
B9D1	-
CSAG3	-
LINC00327	-
PLEKHS1	-
POT1-AS1	-
LINC01891	-
ZNF891	-
NEURL1	-
OR4F13P	-
PWWP3B	-
PCDH11X	-
MTM1	-
KMT5C	-
SCAANT1	-
RFPL1S	-
ATP5MC2	-
PDE3A	-
VSX1	-
IGSF21	-
SYT4	-
ITGB3	-
ABHD17A	-
PGM2	-
UGT1A10	-
RGN	-
NBPF25P	-
C3orf20	-
NDP	-
ARHGEF40	-
MIR8485	-
C1orf53	-
GATM	-
ICAM1	-
INSR	-
RYBP	-
ZNF407	-
ABTB1	-
SEC24B-AS1	-
MCHR2	-
RANBP3	-
CAPN11	-
OR2M5	-
POLRMT	-
GAS7	-
NELL2	-
SPATA20	-
PLEKHA5	-
MUC6	-
ZCCHC18	-
RASA4	-
ZNF746	-
PLXDC2	-
CPT2	-
TSGA10IP	-
GVINP1	-
DDX59	-
CLDN8	-
GIMAP2	-
MIR34AHG	-
OCA2	-
WDR27	-
DIP2A	-
ANKRD46	-
LINC00336	-
F10	-
PABPC1P2	-
NUP214	-
LINC01341	-
OSGIN1	-
NPBWR1	-
HTR2B	-
CLSTN2	-
OR56A4	-
CLK3	-
TENT5A	-
LONRF3	-
LINC01267	-
TEX261	-
OR7G1	-
NAA80	-
LINC01934	-
PRMT3	-
PRPH2	-
ZNF445	-
BCAS3	-
PLSCR4	-
NAA30	-
OR51Q1	-
PRKCSH	-
FAM83F	-
PPT1	-
EXOSC10	-
ATAD3C	-
PIWIL3	-
LRWD1	-
GRAMD1A	-
CEBPZ	-
KLHL40	-
ATF3	-
NOTCH2NLA	-
LIPN	-
LINC01757	-
TRIQK	-
ITPK1-AS1	-
PROK1	-
RPS6KL1	-
LINC01689	-
FSTL4	-
SUCNR1	-
EXOSC1	-
SZT2	-
LINC00602	-
NBPF9	-
ZNF733P	-
ZNF19	-
POLL	-
LINC01732	-
GALNTL6-AS1	-
PTPN23	-
LINC01297	-
PAPPA2	-
LINC02759	-
YAE1	-
MIR3196	-
RGS17	-
PCA3	-
TXNDC8	-
SHARPIN	-
LINC02540	-
IL6R	-
AADAT	-
VENTXP7	-
ZSWIM3	-
ZBTB7C	-
LINC02012	-
TMPRSS11B	-
FAM110A	-
CIB2	-
SPI1	-
DCAF12	-
AFAP1-AS1	-
LINC02509	-
C4orf19	-
ATXN7L3B	-
MYOZ3	-
USP7	-
RAP2C-AS1	-
LINC02339	-
NPPA	-
ACOT1	-
NCEH1	-
LINC01338	-
TMEM151B	-
GGN	-
ESRP2	-
SLC37A2	-
VPS13D	-
LRCH4	-
ARL8A	-
RGSL1	-
ZBTB21	-
CGNL1	-
KANSL1L	-
NDUFA7	-
SMYD1	-
LINC00518	-
KY	-
LINC02291	-
POU2F3	-
TRIM36	-
FBXO46	-
LINC01726	-
TMCO1-AS1	-
LINC02298	-
ZNF93	-
WASL	-
CDKN2C	-
OLFML3	-
SOST	-
PAOX	-
DPP4	-
GBA3	-
USP34	-
TYW3	-
TCP10L2	-
SF3B2	-
FIZ1	-
TRAF5	-
NAALADL2-AS3	-
ACTRT2	-
MIR8063	-
LINC02228	-
ARSG	-
MIR4737	-
PRKCA	-
ZNF527	-
TRIM47	-
RPL23AP82	-
RNASE6	-
DLL4	-
PPAN	-
CYBRD1	-
APOC3	-
HIPK1	-
IP6K1	-
FUCA1	-
LIPH	-
ZNF318	-
TEDC2	-
TEAD4	-
LYZL4	-
STK40	-
GRIPAP1	-
REEP5	-
LINC02190	-
PCDH9-AS2	-
RNU5E-1	-
TCF25	-
ZNF263	-
GAS2L3	-
LINC02146	-
MIR5692B	-
GALNT5	-
FLRT1	-
NLE1	-
RICTOR	-
FOXO1	-
ZNF559	-
MAP3K19	-
PRICKLE2	-
EXOC7	-
NFE2L1	-
AP1G1	-
IFITM1	-
PSD2	-
MRGPRX1	-
CROCC	-
THRAP3	-
NOB1	-
OR10G7	-
SPEM2	-
HOOK1	-
LRRC1	-
GDF5	-
RASA2	-
ITGA3	-
SLC9A6	-
FZD8	-
LINC00115	-
ZNF30-AS1	-
AIM2	-
SENP5	-
LINC00534	-
MIR9-3HG	-
TGIF2LX	-
ZNF827	-
C21orf62-AS1	-
NRIR	-
SNN	-
USP42	-
CCNYL2	-
RIMS1	-
CCL4	-
DUS2	-
SLCO1C1	-
ARRB2	-
CTSK	-
RNF17	-
ZBED5-AS1	-
OR4F5	-
GAL3ST1	-
KCNJ3	-
CST9	-
TTC34	-
MSI2	-
SLC27A6	-
DOLPP1	-
MYC	-
PARP9	-
SEMA5B	-
CREB3L2	-
LINC01999	-
LINC01276	-
LINC00547	-
WDPCP	-
ALG2	-
RAB39A	-
PIK3R2	-
LINC01052	-
ASIC3	-
MAN1B1	-
OR1F2P	-
PMS2P5	-
TSC2	-
PDE4C	-
OR6C6	-
ACSL3	-
EMID1	-
CERKL	-
FOXD4L1	-
HCG25	-
MIR612	-
LINC02709	-
OR4C12	-
RHOXF1P1	-
LINC01309	-
DCDC1	-
ASS1	-
MORC2	-
MAL2	-
DDX60L	-
CYP2A13	-
LINC02583	-
CDC14C	-
C6orf141	-
MIR7515HG	-
TBC1D3B	-
ZNF366	-
OR5AK4P	-
SIGLEC14	-
LINC01456	-
PCDHGB2	-
NRBP2	-
SGF29	-
EI24	-
CRH	-
GPBP1L1	-
LINC02694	-
PDPK1	-
STX8	-
ZNF790-AS1	-
TOLLIP-AS1	-
EDA2R	-
CERK	-
RPS6KB2	-
ZNF710-AS1	-
LINC01291	-
SERPINB12	-
C2orf88	-
LZTR1	-
SCGB1B2P	-
FCER2	-
USP54	-
KANK3	-
CLIP2	-
ATE1	-
MTO1	-
INSYN1	-
OR14J1	-
CARMN	-
NIBAN1	-
FAM86DP	-
MRPS9	-
SCFD1	-
DEDD2	-
UGT2B4	-
MFGE8	-
LINC01596	-
TLL2	-
METTL21C	-
SLC30A6	-
CACNB1	-
METTL5	-
UTP20	-
ANKRD18CP	-
BNC2	-
MIR4326	-
C19orf44	-
TASOR2	-
NHLRC1	-
CLP1	-
KRT87P	-
EFHC1	-
CDC27	-
CENPW	-
NFKBIZ	-
USP43	-
C9	-
RASA4CP	-
MAPK6	-
WNT16	-
COL16A1	-
IDH2	-
SKP2	-
DPP9	-
MIR6836	-
ERVK3-1	-
FNDC7	-
PLK4	-
NPIPA1	-
IL36B	-
EPHA8	-
VIPR1	-
OR2Y1	-
NORAD	-
HMG20A	-
PINK1	-
FLG-AS1	-
LINC01031	-
RBM24	-
SDAD1P1	-
ANKMY2	-
TRERNA1	-
ZNF253	-
NUCB2	-
LINC02114	-
TATDN2	-
CDH18-AS1	-
MOK	-
PANK4	-
ZNF718	-
ATP13A4	-
DIS3L	-
LINC00365	-
LINC01533	-
C4orf50	-
KLF9	-
FAM178B	-
MIR608	-
RNASE10	-
ZNF788P	-
LINC02644	-
PDE4A	-
RGMA	-
ZNF426-DT	-
SLC22A5	-
ETV6	-
TENM4	-
LINC00641	-
LINC01798	-
LINC01333	-
LINC01682	-
SPTLC3	-
CPA5	-
CLASP2	-
ATP4B	-
DCPS	-
P2RY4	-
ST8SIA1	-
TRAPPC11	-
GOLGA6L5P	-
NUP54	-
OR6C74	-
SNORA109	-
TRIM4	-
CDC25B	-
EID2	-
RGS20	-
TMEM176A	-
G2E3-AS1	-
MAVS	-
CHD1L	-
AVEN	-
MIR802	-
UQCC1	-
ZFYVE16	-
ARMC8	-
ELAVL3	-
LINC00251	-
CEP57	-
PDIA6	-
PCID2	-
ORM1	-
MRPL1	-
MAP2K3	-
EHHADH	-
TMEM106C	-
OR2AG1	-
KDM4E	-
POLR2J3	-
LINC01843	-
CACHD1	-
IGSF8	-
WSCD1	-
LINC01829	-
MYBPH	-
CA9	-
KYAT3	-
CTSB	-
PRKCQ	-
NSFL1C	-
STX18-AS1	-
TMEM236	-
ZNF391	-
RALY	-
KLHDC2	-
CCDC183	-
LINC00489	-
ILK	-
CCR3	-
DOCK2	-
GPR152	-
FBXO11	-
MFAP2	-
LINC00106	-
CEACAM8	-
OR2M7	-
ANGPTL3	-
SOCS6	-
FLNC	-
EVL	-
OR2W1	-
CHST12	-
HPS3	-
BIRC7	-
TUBGCP5	-
FTCD-AS1	-
CFAP52	-
FAM167A-AS1	-
KHDRBS3	-
OR3A3	-
SLC10A1	-
KCNMA1-AS1	-
OR6N2	-
UNG	-
MAEA	-
MAPK9	-
SLC9A7	-
SV2B	-
BPTF	-
LINC01619	-
WFDC9	-
C14orf180	-
KLRB1	-
RNASEH2B	-
PP2D1	-
RNF170	-
VSIG4	-
GINS2	-
PHLPP2	-
HEXB	-
GSTZ1	-
GRIN2B	-
OSMR	-
SH3YL1	-
HGS	-
NAV1	-
PITPNA	-
HS1BP3	-
LINC02471	-
PAFAH1B2	-
MIR4307HG	-
CNOT6	-
ZSCAN22	-
MYO18B	-
ZNF775	-
SPATA31D3	-
CCSAP	-
TMX2	-
MRPL10	-
ZNF850	-
PTCH2	-
CSF3	-
TREX1	-
